hospitalizados;uci;fallecidos;altas
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
0.0;0.0;0;0.0
