data;codice_regione;codice_provincia;totale_casi
18316.0;20;90;0
18316.0;20;91;0
18316.0;20;92;0
18316.0;20;95;0
18316.0;20;111;0
18316.0;20;993;0
18317.0;20;90;0
18317.0;20;91;0
18317.0;20;92;0
18317.0;20;95;0
18317.0;20;111;0
18317.0;20;993;0
18318.0;20;90;0
18318.0;20;91;0
18318.0;20;92;0
18318.0;20;95;0
18318.0;20;111;0
18318.0;20;993;0
18319.0;20;90;0
18319.0;20;91;0
18319.0;20;92;0
18319.0;20;95;0
18319.0;20;111;0
18319.0;20;993;0
18320.0;20;90;0
18320.0;20;91;0
18320.0;20;92;0
18320.0;20;95;0
18320.0;20;111;0
18320.0;20;993;0
18321.0;20;90;0
18321.0;20;91;0
18321.0;20;92;0
18321.0;20;95;0
18321.0;20;111;0
18321.0;20;993;0
18264.0;20;90;0
18264.0;20;91;0
18264.0;20;92;0
18264.0;20;95;0
18264.0;20;111;0
18264.0;20;993;0
18295.0;20;90;0
18295.0;20;91;0
18295.0;20;92;0
18295.0;20;95;0
18295.0;20;111;0
18295.0;20;993;0
18324.0;20;90;0
18324.0;20;91;0
18324.0;20;92;1
18324.0;20;95;0
18324.0;20;111;0
18324.0;20;993;0
18355.0;20;90;0
18355.0;20;91;0
18355.0;20;92;2
18355.0;20;95;0
18355.0;20;111;0
18355.0;20;993;0
18385.0;20;90;0
18385.0;20;91;0
18385.0;20;92;2
18385.0;20;95;0
18385.0;20;111;0
18385.0;20;993;0
18416.0;20;90;0
18416.0;20;91;2
18416.0;20;92;3
18416.0;20;95;0
18416.0;20;111;0
18416.0;20;993;0
18446.0;20;90;0
18446.0;20;91;2
18446.0;20;92;3
18446.0;20;95;0
18446.0;20;111;0
18446.0;20;993;0
18477.0;20;90;0
18477.0;20;91;2
18477.0;20;92;9
18477.0;20;95;0
18477.0;20;111;0
18477.0;20;993;0
18508.0;20;90;1
18508.0;20;91;3
18508.0;20;92;14
18508.0;20;95;1
18508.0;20;111;0
18508.0;20;993;0
18538.0;20;90;1
18538.0;20;91;3
18538.0;20;92;15
18538.0;20;95;1
18538.0;20;111;0
18538.0;20;993;0
18569.0;20;90;2
18569.0;20;91;18
18569.0;20;92;15
18569.0;20;95;2
18569.0;20;111;0
18569.0;20;993;0
18599.0;20;90;4
18599.0;20;91;18
18599.0;20;92;11
18599.0;20;95;2
18599.0;20;111;4
18599.0;20;993;0
18334.0;20;90;4
18334.0;20;91;18
18334.0;20;92;15
18334.0;20;95;2
18334.0;20;111;4
18334.0;20;993;0
18335.0;20;90;6
18335.0;20;91;18
18335.0;20;92;16
18335.0;20;95;2
18335.0;20;111;5
18335.0;20;993;0
18336.0;20;90;35
18336.0;20;91;19
18336.0;20;92;18
18336.0;20;95;2
18336.0;20;111;3
18336.0;20;993;0
18337.0;20;90;57
18337.0;20;91;19
18337.0;20;92;24
18337.0;20;95;2
18337.0;20;111;5
18337.0;20;993;0
18338.0;20;90;63
18338.0;20;91;20
18338.0;20;92;27
18338.0;20;95;2
18338.0;20;111;5
18338.0;20;993;0
18339.0;20;90;74
18339.0;20;91;20
18339.0;20;92;32
18339.0;20;95;3
18339.0;20;111;5
18339.0;20;993;0
18340.0;20;90;134
18340.0;20;91;21
18340.0;20;92;41
18340.0;20;95;3
18340.0;20;111;7
18340.0;20;993;0
18341.0;20;90;216
18341.0;20;91;22
18341.0;20;92;43
18341.0;20;95;4
18341.0;20;111;8
18341.0;20;993;0
18342.0;20;90;251
18342.0;20;91;22
18342.0;20;92;45
18342.0;20;95;4
18342.0;20;111;8
18342.0;20;993;0
18343.0;20;90;253
18343.0;20;91;22
18343.0;20;92;52
18343.0;20;95;4
18343.0;20;111;8
18343.0;20;993;0
18344.0;20;90;260
18344.0;20;91;22
18344.0;20;92;61
18344.0;20;95;7
18344.0;20;111;9
18344.0;20;993;0
18345.0;20;90;309
18345.0;20;91;26
18345.0;20;92;64
18345.0;20;95;7
18345.0;20;111;15
18345.0;20;993;0
18346.0;20;90;318
18346.0;20;91;26
18346.0;20;92;74
18346.0;20;95;7
18346.0;20;111;17
18346.0;20;993;0
18347.0;20;90;331
18347.0;20;91;52
18347.0;20;92;83
18347.0;20;95;7
18347.0;20;111;21
18347.0;20;993;0
18348.0;20;90;336
18348.0;20;91;52
18348.0;20;92;83
18348.0;20;95;9
18348.0;20;111;50
18348.0;20;993;0
18349.0;20;90;407
