data;codice_regione;codice_provincia;totale_casi
18316.0;3;12;0
18316.0;3;13;0
18316.0;3;14;0
18316.0;3;15;0
18316.0;3;16;0
18316.0;3;17;0
18316.0;3;18;0
18316.0;3;19;0
18316.0;3;20;0
18316.0;3;97;0
18316.0;3;98;0
18316.0;3;108;0
18316.0;3;988;0
18317.0;3;12;0
18317.0;3;13;0
18317.0;3;14;1
18317.0;3;15;8
18317.0;3;16;18
18317.0;3;17;0
18317.0;3;18;27
18317.0;3;19;53
18317.0;3;20;0
18317.0;3;97;0
18317.0;3;98;125
18317.0;3;108;3
18317.0;3;988;5
18318.0;3;12;0
18318.0;3;13;0
18318.0;3;14;3
18318.0;3;15;8
18318.0;3;16;20
18318.0;3;17;2
18318.0;3;18;27
18318.0;3;19;57
18318.0;3;20;0
18318.0;3;97;0
18318.0;3;98;128
18318.0;3;108;4
18318.0;3;988;9
18319.0;3;12;0
18319.0;3;13;0
18319.0;3;14;3
18319.0;3;15;15
18319.0;3;16;72
18319.0;3;17;10
18319.0;3;18;36
18319.0;3;19;91
18319.0;3;20;0
18319.0;3;97;0
18319.0;3;98;159
18319.0;3;108;5
18319.0;3;988;12
18320.0;3;12;3
18320.0;3;13;0
18320.0;3;14;3
18320.0;3;15;29
18320.0;3;16;103
18320.0;3;17;13
18320.0;3;18;49
18320.0;3;19;123
18320.0;3;20;0
18320.0;3;97;0
18320.0;3;98;182
18320.0;3;108;6
18320.0;3;988;20
18321.0;3;12;4
18321.0;3;13;1
18321.0;3;14;3
18321.0;3;15;30
18321.0;3;16;110
18321.0;3;17;14
18321.0;3;18;55
18321.0;3;19;136
18321.0;3;20;1
18321.0;3;97;0
18321.0;3;98;237
18321.0;3;108;6
18321.0;3;988;18
18264.0;3;12;4
18264.0;3;13;2
18264.0;3;14;3
18264.0;3;15;46
18264.0;3;16;209
18264.0;3;17;49
18264.0;3;18;78
18264.0;3;19;214
18264.0;3;20;4
18264.0;3;97;2
18264.0;3;98;344
18264.0;3;108;6
18264.0;3;988;23
18295.0;3;12;4
18295.0;3;13;2
18295.0;3;14;3
18295.0;3;15;58
18295.0;3;16;243
18295.0;3;17;60
18295.0;3;18;83
18295.0;3;19;223
18295.0;3;20;5
18295.0;3;97;3
18295.0;3;98;384
18295.0;3;108;8
18295.0;3;988;178
18324.0;3;12;7
18324.0;3;13;4
18324.0;3;14;3
18324.0;3;15;93
18324.0;3;16;372
18324.0;3;17;86
18324.0;3;18;122
18324.0;3;19;287
18324.0;3;20;15
18324.0;3;97;4
18324.0;3;98;482
18324.0;3;108;9
18324.0;3;988;36
18355.0;3;12;11
18355.0;3;13;5
18355.0;3;14;4
18355.0;3;15;145
18355.0;3;16;423
18355.0;3;17;127
18355.0;3;18;126
18355.0;3;19;333
18355.0;3;20;22
18355.0;3;97;5
18355.0;3;98;559
18355.0;3;108;11
18355.0;3;988;49
18385.0;3;12;17
18385.0;3;13;11
18385.0;3;14;4
18385.0;3;15;197
18385.0;3;16;537
18385.0;3;17;155
18385.0;3;18;151
18385.0;3;19;406
18385.0;3;20;26
18385.0;3;97;8
18385.0;3;98;658
18385.0;3;108;19
18385.0;3;988;62
18416.0;3;12;23
18416.0;3;13;11
18416.0;3;14;4
18416.0;3;15;267
18416.0;3;16;623
18416.0;3;17;182
18416.0;3;18;180
18416.0;3;19;452
18416.0;3;20;32
18416.0;3;97;11
18416.0;3;98;739
18416.0;3;108;20
18416.0;3;988;68
18446.0;3;12;27
18446.0;3;13;23
18446.0;3;14;6
18446.0;3;15;361
18446.0;3;16;761
18446.0;3;17;413
18446.0;3;18;221
18446.0;3;19;562
18446.0;3;20;46
18446.0;3;97;35
18446.0;3;98;811
18446.0;3;108;61
18446.0;3;988;93
18477.0;3;12;32
18477.0;3;13;27
18477.0;3;14;6
18477.0;3;15;406
18477.0;3;16;997
18477.0;3;17;501
18477.0;3;18;243
18477.0;3;19;665
18477.0;3;20;56
18477.0;3;97;53
18477.0;3;98;853
18477.0;3;108;59
18477.0;3;988;291
18508.0;3;12;44
18508.0;3;13;40
18508.0;3;14;7
18508.0;3;15;506
18508.0;3;16;1245
18508.0;3;17;739
18508.0;3;18;296
18508.0;3;19;916
18508.0;3;20;102
18508.0;3;97;66
18508.0;3;98;928
18508.0;3;108;64
18508.0;3;988;516
18538.0;3;12;50
18538.0;3;13;46
18538.0;3;14;7
18538.0;3;15;592
18538.0;3;16;1472
18538.0;3;17;790
18538.0;3;18;324
18538.0;3;19;957
18538.0;3;20;119
18538.0;3;97;89
18538.0;3;98;963
18538.0;3;108;65
18538.0;3;988;317
18569.0;3;12;75
18569.0;3;13;77
18569.0;3;14;13
18569.0;3;15;925
18569.0;3;16;1815
18569.0;3;17;1351
18569.0;3;18;403
18569.0;3;19;1061
18569.0;3;20;137
18569.0;3;97;113
18569.0;3;98;1035
18569.0;3;108;85
18569.0;3;988;190
18599.0;3;12;98
18599.0;3;13;98
18599.0;3;14;23
18599.0;3;15;1146
18599.0;3;16;2136
18599.0;3;17;1598
18599.0;3;18;468
18599.0;3;19;1302
18599.0;3;20;169
18599.0;3;97;199
18599.0;3;98;1123
18599.0;3;108;130
18599.0;3;988;235
18334.0;3;12;125
18334.0;3;13;118
18334.0;3;14;23
18334.0;3;15;1307
18334.0;3;16;2368
18334.0;3;17;1784
18334.0;3;18;482
18334.0;3;19;1344
18334.0;3;20;187
18334.0;3;97;237
18334.0;3;98;1133
18334.0;3;108;143
18334.0;3;988;569
18335.0;3;12;158
18335.0;3;13;154
18335.0;3;14;45
18335.0;3;15;1551
18335.0;3;16;2864
18335.0;3;17;2122
18335.0;3;18;622
18335.0;3;19;1565
18335.0;3;20;261
18335.0;3;97;287
18335.0;3;98;1276
18335.0;3;108;224
18335.0;3;988;556
18336.0;3;12;184
18336.0;3;13;184
18336.0;3;14;45
18336.0;3;15;1750
18336.0;3;16;3416
18336.0;3;17;2473
18336.0;3;18;722
18336.0;3;19;1792
18336.0;3;20;339
18336.0;3;97;344
18336.0;3;98;1320
18336.0;3;108;327
18336.0;3;988;376
18337.0;3;12;202
18337.0;3;13;220
18337.0;3;14;46
18337.0;3;15;1983
18337.0;3;16;3760
18337.0;3;17;2918
18337.0;3;18;801
18337.0;3;19;1881
18337.0;3;20;382
18337.0;3;97;386
18337.0;3;98;1362
18337.0;3;108;346
18337.0;3;988;362
18338.0;3;12;234
18338.0;3;13;256
18338.0;3;14;74
18338.0;3;15;2326
18338.0;3;16;3993
18338.0;3;17;3300
18338.0;3;18;884
18338.0;3;19;2073
18338.0;3;20;465
18338.0;3;97;440
18338.0;3;98;1418
18338.0;3;108;376
18338.0;3;988;381
18339.0;3;12;265
18339.0;3;13;286
18339.0;3;14;75
18339.0;3;15;2644
18339.0;3;16;4305
