data;codice_regione;codice_provincia;totale_casi
18316.0;2;7;0
18316.0;2;998;0
18317.0;2;7;0
18317.0;2;998;0
18318.0;2;7;0
18318.0;2;998;0
18319.0;2;7;0
18319.0;2;998;0
18320.0;2;7;0
18320.0;2;998;0
18321.0;2;7;0
18321.0;2;998;0
18264.0;2;7;0
18264.0;2;998;0
18295.0;2;7;0
18295.0;2;998;0
18324.0;2;7;0
18324.0;2;998;0
18355.0;2;7;0
18355.0;2;998;0
18385.0;2;7;2
18385.0;2;998;0
18416.0;2;7;7
18416.0;2;998;0
18446.0;2;7;8
18446.0;2;998;0
18477.0;2;7;9
18477.0;2;998;0
18508.0;2;7;15
18508.0;2;998;0
18538.0;2;7;17
18538.0;2;998;0
18569.0;2;7;20
18569.0;2;998;0
18599.0;2;7;27
18599.0;2;998;0
18334.0;2;7;28
18334.0;2;998;0
18335.0;2;7;42
18335.0;2;998;0
18336.0;2;7;57
18336.0;2;998;0
18337.0;2;7;105
18337.0;2;998;0
18338.0;2;7;136
18338.0;2;998;0
18339.0;2;7;165
18339.0;2;998;0
18340.0;2;7;215
18340.0;2;998;0
18341.0;2;7;264
18341.0;2;998;0
18342.0;2;7;313
18342.0;2;998;0
18343.0;2;7;364
18343.0;2;998;0
18344.0;2;7;393
18344.0;2;998;0
18345.0;2;7;400
18345.0;2;998;0
18346.0;2;7;401
18346.0;2;998;0
18347.0;2;7;408
18347.0;2;998;0
18348.0;2;7;452
18348.0;2;998;0
18349.0;2;7;511
18349.0;2;998;0
18350.0;2;7;584
18350.0;2;998;0
18351.0;2;7;584
18351.0;2;998;0
18352.0;2;7;628
18352.0;2;998;0
18265.0;2;7;631
18265.0;2;998;0
18296.0;2;7;668
18296.0;2;998;0
18325.0;2;7;719
18325.0;2;998;0
18356.0;2;7;748
18356.0;2;998;0
18386.0;2;7;782
18386.0;2;998;0
18417.0;2;7;805
18417.0;2;998;0
18447.0;2;7;835
18447.0;2;998;0
18478.0;2;7;850
18478.0;2;998;0
18509.0;2;7;868
18509.0;2;998;0
18539.0;2;7;879
18539.0;2;998;0
18570.0;2;7;902
18570.0;2;998;0
18600.0;2;7;921
18600.0;2;998;0
18365.0;2;7;927
18365.0;2;998;0
18366.0;2;7;947
18366.0;2;998;0
18367.0;2;7;958
18367.0;2;998;0
18368.0;2;7;971
18368.0;2;998;0
18369.0;2;7;993
18369.0;2;998;0
18370.0;2;7;1073
18370.0;2;998;0
18371.0;2;7;1088
18371.0;2;998;0
18372.0;2;7;1088
18372.0;2;998;0
18373.0;2;7;1093
18373.0;2;998;0
18374.0;2;7;1095
18374.0;2;998;0
18375.0;2;7;1096
18375.0;2;998;0
18376.0;2;7;1100
18376.0;2;998;0
18377.0;2;7;1100
18377.0;2;998;0
18378.0;2;7;1106
18378.0;2;998;0
18379.0;2;7;1111
18379.0;2;998;0
18380.0;2;7;1119
18380.0;2;998;0
18381.0;2;7;1124
18381.0;2;998;0
18382.0;2;7;1128
18382.0;2;998;0
18266.0;2;7;1133
18266.0;2;998;0
18297.0;2;7;1136
18297.0;2;998;0
18326.0;2;7;1142
18326.0;2;998;0
18357.0;2;7;1143
18357.0;2;998;0
18387.0;2;7;1143
18387.0;2;998;0
18418.0;2;7;1146
18418.0;2;998;0
18448.0;2;7;1150
18448.0;2;998;0
18479.0;2;7;1151
18479.0;2;998;0
18510.0;2;7;1152
18510.0;2;998;0
18540.0;2;7;1157
18540.0;2;998;0
18571.0;2;7;1158
18571.0;2;998;0
18601.0;2;7;1160
18601.0;2;998;0
18395.0;2;7;1163
18395.0;2;998;0
18396.0;2;7;1166
18396.0;2;998;0
18397.0;2;7;1172
18397.0;2;998;0
18398.0;2;7;1173
18398.0;2;998;0
18399.0;2;7;1173
18399.0;2;998;0
18400.0;2;7;1174
18400.0;2;998;0
18401.0;2;7;1175
18401.0;2;998;0
18402.0;2;7;1175
18402.0;2;998;0
18403.0;2;7;1176
18403.0;2;998;0
18404.0;2;7;1177
18404.0;2;998;0
18405.0;2;7;1177
18405.0;2;998;0
18406.0;2;7;1178
18406.0;2;998;0
18407.0;2;7;1179
18407.0;2;998;0
18408.0;2;7;1181
18408.0;2;998;0
18409.0;2;7;1181
18409.0;2;998;0
18410.0;2;7;1182
18410.0;2;998;0
18411.0;2;7;1182
18411.0;2;998;0
18412.0;2;7;1183
18412.0;2;998;0
18413.0;2;7;1184
18413.0;2;998;0
18267.0;2;7;1187
18267.0;2;998;0
18298.0;2;7;1187
18298.0;2;998;0
18327.0;2;7;1187
18327.0;2;998;0
18358.0;2;7;1187
18358.0;2;998;0
18388.0;2;7;1187
18388.0;2;998;0
18419.0;2;7;1189
18419.0;2;998;0
18449.0;2;7;1191
18449.0;2;998;0
18480.0;2;7;1191
18480.0;2;998;0
18511.0;2;7;1191
18511.0;2;998;0
18541.0;2;7;1191
18541.0;2;998;0
18572.0;2;7;1191
18572.0;2;998;0
18602.0;2;7;1191
18602.0;2;998;0
18426.0;2;7;1191
18426.0;2;998;0
18427.0;2;7;1191
18427.0;2;998;0
18428.0;2;7;1191
18428.0;2;998;0
18429.0;2;7;1191
18429.0;2;998;0
18430.0;2;7;1191
18430.0;2;998;0
18431.0;2;7;1191
