data;codice_regione;codice_provincia;totale_casi
18316.0;1;1;0
18316.0;1;2;0
18316.0;1;3;0
18316.0;1;4;0
18316.0;1;5;0
18316.0;1;6;0
18316.0;1;96;0
18316.0;1;103;0
18316.0;1;991;0
18317.0;1;1;3
18317.0;1;2;0
18317.0;1;3;0
18317.0;1;4;0
18317.0;1;5;0
18317.0;1;6;0
18317.0;1;96;0
18317.0;1;103;0
18317.0;1;991;0
18318.0;1;1;3
18318.0;1;2;0
18318.0;1;3;0
18318.0;1;4;0
18318.0;1;5;0
18318.0;1;6;0
18318.0;1;96;0
18318.0;1;103;0
18318.0;1;991;0
18319.0;1;1;2
18319.0;1;2;0
18319.0;1;3;0
18319.0;1;4;0
18319.0;1;5;0
18319.0;1;6;0
18319.0;1;96;0
18319.0;1;103;0
18319.0;1;991;0
18320.0;1;1;11
18320.0;1;2;0
18320.0;1;3;0
18320.0;1;4;0
18320.0;1;5;0
18320.0;1;6;0
18320.0;1;96;0
18320.0;1;103;0
18320.0;1;991;0
18321.0;1;1;11
18321.0;1;2;0
18321.0;1;3;0
18321.0;1;4;0
18321.0;1;5;0
18321.0;1;6;0
18321.0;1;96;0
18321.0;1;103;0
18321.0;1;991;0
18264.0;1;1;49
18264.0;1;2;0
18264.0;1;3;0
18264.0;1;4;0
18264.0;1;5;0
18264.0;1;6;0
18264.0;1;96;0
18264.0;1;103;0
18264.0;1;991;0
18295.0;1;1;6
18295.0;1;2;1
18295.0;1;3;3
18295.0;1;4;0
18295.0;1;5;37
18295.0;1;6;0
18295.0;1;96;0
18295.0;1;103;4
18295.0;1;991;0
18324.0;1;1;7
18324.0;1;2;1
18324.0;1;3;3
18324.0;1;4;0
18324.0;1;5;40
18324.0;1;6;1
18324.0;1;96;0
18324.0;1;103;4
18324.0;1;991;0
18355.0;1;1;11
18355.0;1;2;3
18355.0;1;3;3
18355.0;1;4;0
18355.0;1;5;41
18355.0;1;6;16
18355.0;1;96;0
18355.0;1;103;5
18355.0;1;991;3
18385.0;1;1;19
18385.0;1;2;8
18385.0;1;3;3
18385.0;1;4;0
18385.0;1;5;43
18385.0;1;6;22
18385.0;1;96;2
18385.0;1;103;5
18385.0;1;991;6
18416.0;1;1;34
18416.0;1;2;7
18416.0;1;3;4
18416.0;1;4;1
18416.0;1;5;47
18416.0;1;6;32
18416.0;1;96;3
18416.0;1;103;9
18416.0;1;991;6
18446.0;1;1;55
18446.0;1;2;10
18446.0;1;3;5
18446.0;1;4;1
18446.0;1;5;50
18446.0;1;6;40
18446.0;1;96;6
18446.0;1;103;10
18446.0;1;991;30
18477.0;1;1;89
18477.0;1;2;15
18477.0;1;3;13
18477.0;1;4;5
18477.0;1;5;58
18477.0;1;6;60
18477.0;1;96;19
18477.0;1;103;13
18477.0;1;991;88
18508.0;1;1;87
18508.0;1;2;11
18508.0;1;3;14
18508.0;1;4;11
18508.0;1;5;58
18508.0;1;6;63
18508.0;1;96;18
18508.0;1;103;11
18508.0;1;991;77
18538.0;1;1;111
18538.0;1;2;18
18538.0;1;3;22
18538.0;1;4;14
18538.0;1;5;58
18538.0;1;6;65
18538.0;1;96;20
18538.0;1;103;11
18538.0;1;991;134
18569.0;1;1;159
18569.0;1;2;24
18569.0;1;3;27
18569.0;1;4;17
18569.0;1;5;68
18569.0;1;6;105
18569.0;1;96;36
18569.0;1;103;13
18569.0;1;991;52
18599.0;1;1;187
18599.0;1;2;25
18599.0;1;3;32
18599.0;1;4;24
18599.0;1;5;69
18599.0;1;6;132
18599.0;1;96;39
18599.0;1;103;18
18599.0;1;991;54
18334.0;1;1;305
18334.0;1;2;29
18334.0;1;3;48
18334.0;1;4;40
18334.0;1;5;70
18334.0;1;6;136
18334.0;1;96;48
18334.0;1;103;29
18334.0;1;991;135
18335.0;1;1;305
18335.0;1;2;31
18335.0;1;3;48
18335.0;1;4;47
18335.0;1;5;87
18335.0;1;6;182
18335.0;1;96;48
18335.0;1;103;36
18335.0;1;991;89
18336.0;1;1;359
18336.0;1;2;84
18336.0;1;3;71
18336.0;1;4;61
18336.0;1;5;87
18336.0;1;6;207
18336.0;1;96;50
18336.0;1;103;50
18336.0;1;991;142
18337.0;1;1;542
18337.0;1;2;99
18337.0;1;3;109
18337.0;1;4;91
18337.0;1;5;87
18337.0;1;6;273
18337.0;1;96;67
18337.0;1;103;58
18337.0;1;991;190
18338.0;1;1;749
18338.0;1;2;113
18338.0;1;3;150
18338.0;1;4;119
18338.0;1;5;90
18338.0;1;6;323
18338.0;1;96;96
18338.0;1;103;76
18338.0;1;991;181
18339.0;1;1;1042
18339.0;1;2;131
18339.0;1;3;190
18339.0;1;4;149
18339.0;1;5;101
18339.0;1;6;374
18339.0;1;96;109
18339.0;1;103;89
18339.0;1;991;156
18340.0;1;1;1042
18340.0;1;2;131
18340.0;1;3;190
18340.0;1;4;149
18340.0;1;5;101
18340.0;1;6;374
18340.0;1;96;109
18340.0;1;103;89
18340.0;1;991;747
18341.0;1;1;1556
18341.0;1;2;203
18341.0;1;3;293
18341.0;1;4;221
18341.0;1;5;151
18341.0;1;6;595
18341.0;1;96;175
18341.0;1;103;142
18341.0;1;991;125
18342.0;1;1;1680
18342.0;1;2;210
18342.0;1;3;330
18342.0;1;4;265
18342.0;1;5;166
18342.0;1;6;654
18342.0;1;96;182
18342.0;1;103;149
18342.0;1;991;116
18343.0;1;1;1989
18343.0;1;2;242
18343.0;1;3;398
18343.0;1;4;303
18343.0;1;5;181
18343.0;1;6;760
18343.0;1;96;243
18343.0;1;103;159
18343.0;1;991;145
18344.0;1;1;2198
18344.0;1;2;263
18344.0;1;3;420
18344.0;1;4;367
18344.0;1;5;209
18344.0;1;6;817
18344.0;1;96;253
18344.0;1;103;190
18344.0;1;991;144
18345.0;1;1;2496
18345.0;1;2;290
18345.0;1;3;471
18345.0;1;4;409
18345.0;1;5;235
18345.0;1;6;946
18345.0;1;96;280
18345.0;1;103;229
18345.0;1;991;159
18346.0;1;1;2813
18346.0;1;2;308
18346.0;1;3;517
18346.0;1;4;441
18346.0;1;5;261
18346.0;1;6;946
18346.0;1;96;327
18346.0;1;103;247
18346.0;1;991;164
18347.0;1;1;3108
18347.0;1;2;336
18347.0;1;3;577
18347.0;1;4;487
18347.0;1;5;282
18347.0;1;6;980
18347.0;1;96;336
18347.0;1;103;255
18347.0;1;991;173
18348.0;1;1;3361
18348.0;1;2;358
18348.0;1;3;609
18348.0;1;4;518
18348.0;1;5;303
18348.0;1;6;1106
18348.0;1;96;367
18348.0;1;103;288
18348.0;1;991;182
18349.0;1;1;3658
18349.0;1;2;397
18349.0;1;3;657
18349.0;1;4;558
18349.0;1;5;318
18349.0;1;6;1197
18349.0;1;96;399
18349.0;1;103;308
18349.0;1;991;179
18350.0;1;1;3933
18350.0;1;2;426
18350.0;1;3;694
18350.0;1;4;591
18350.0;1;5;328
18350.0;1;6;1255
18350.0;1;96;439
18350.0;1;103;346
18350.0;1;991;194
18351.0;1;1;4150
18351.0;1;2;449
18351.0;1;3;733
18351.0;1;4;650
18351.0;1;5;402
18351.0;1;6;1280
18351.0;1;96;471
18351.0;1;103;376
18351.0;1;991;201
18352.0;1;1;4455
18352.0;1;2;473
18352.0;1;3;797
18352.0;1;4;731
18352.0;1;5;434
18352.0;1;6;1317
18352.0;1;96;490
18352.0;1;103;393
18352.0;1;991;211
18265.0;1;1;4711
18265.0;1;2;488
18265.0;1;3;854
18265.0;1;4;778
18265.0;1;5;461
18265.0;1;6;1378
18265.0;1;96;503
18265.0;1;103;410
18265.0;1;991;212
18296.0;1;1;4991
18296.0;1;2;520
18296.0;1;3;902
18296.0;1;4;826
18296.0;1;5;501
18296.0;1;6;1428
18296.0;1;96;523
18296.0;1;103;444
18296.0;1;991;218
18325.0;1;1;5295
18325.0;1;2;565
18325.0;1;3;930
18325.0;1;4;850
18325.0;1;5;523
18325.0;1;6;1491
18325.0;1;96;542
18325.0;1;103;505
18325.0;1;991;195
18356.0;1;1;5772
18356.0;1;2;583
18356.0;1;3;967
18356.0;1;4;932
18356.0;1;5;560
18356.0;1;6;1591
18356.0;1;96;559
18356.0;1;103;535
18356.0;1;991;210
18386.0;1;1;5985
18386.0;1;2;605
18386.0;1;3;986
18386.0;1;4;1071
18386.0;1;5;596
18386.0;1;6;1763
18386.0;1;96;571
18386.0;1;103;556
18386.0;1;991;229
18417.0;1;1;6180
18417.0;1;2;647
18417.0;1;3;1008
18417.0;1;4;1135
18417.0;1;5;609
18417.0;1;6;1904
18417.0;1;96;583
18417.0;1;103;619
18417.0;1;991;239
18447.0;1;1;6375
18447.0;1;2;665
18447.0;1;3;1073
18447.0;1;4;1187
18447.0;1;5;629
18447.0;1;6;1946
18447.0;1;96;591
18447.0;1;103;630
18447.0;1;991;247
