data;codice_regione;codice_provincia;totale_casi
18316.0;22;22;0
18316.0;22;996;0
18317.0;22;22;0
18317.0;22;996;0
18318.0;22;22;0
18318.0;22;996;0
18319.0;22;22;0
18319.0;22;996;0
18320.0;22;22;0
18320.0;22;996;0
18321.0;22;22;0
18321.0;22;996;0
18264.0;22;22;0
18264.0;22;996;0
18295.0;22;22;0
18295.0;22;996;0
18324.0;22;22;4
18324.0;22;996;0
18355.0;22;22;5
18355.0;22;996;0
18385.0;22;22;7
18385.0;22;996;0
18416.0;22;22;10
18416.0;22;996;0
18446.0;22;22;14
18446.0;22;996;0
18477.0;22;22;23
18477.0;22;996;0
18508.0;22;22;33
18508.0;22;996;0
18538.0;22;22;52
18538.0;22;996;0
18569.0;22;22;77
18569.0;22;996;0
18599.0;22;22;107
18599.0;22;996;0
18334.0;22;22;163
18334.0;22;996;0
18335.0;22;22;206
18335.0;22;996;0
18336.0;22;22;378
18336.0;22;996;0
18337.0;22;22;378
18337.0;22;996;0
18338.0;22;22;385
18338.0;22;996;0
18339.0;22;22;455
18339.0;22;996;0
18340.0;22;22;523
18340.0;22;996;0
18341.0;22;22;642
18341.0;22;996;0
18342.0;22;22;782
18342.0;22;996;0
18343.0;22;22;954
18343.0;22;996;0
18344.0;22;22;1023
18344.0;22;996;0
18345.0;22;22;1110
18345.0;22;996;0
18346.0;22;22;1222
18346.0;22;996;0
18347.0;22;22;1297
18347.0;22;996;0
18348.0;22;22;1391
18348.0;22;996;0
18349.0;22;22;1505
18349.0;22;996;0
18350.0;22;22;1594
18350.0;22;996;0
18351.0;22;22;1682
18351.0;22;996;0
18352.0;22;22;1746
18352.0;22;996;0
18265.0;22;22;1870
18265.0;22;996;0
18296.0;22;22;2003
18296.0;22;996;0
18325.0;22;22;2109
18325.0;22;996;0
18356.0;22;22;2220
18356.0;22;996;0
18386.0;22;22;2285
18386.0;22;996;0
18417.0;22;22;2348
18417.0;22;996;0
18447.0;22;22;2476
18447.0;22;996;0
18478.0;22;22;2602
18478.0;22;996;0
18509.0;22;22;2708
18509.0;22;996;0
18539.0;22;22;2816
18539.0;22;996;0
18570.0;22;22;2970
18570.0;22;996;0
18600.0;22;22;3053
18600.0;22;996;0
18365.0;22;22;3126
18365.0;22;996;0
18366.0;22;22;3141
18366.0;22;996;0
18367.0;22;22;3220
18367.0;22;996;0
18368.0;22;22;3294
18368.0;22;996;0
18369.0;22;22;3376
18369.0;22;996;0
18370.0;22;22;3431
18370.0;22;996;0
18371.0;22;22;3532
18371.0;22;996;0
18372.0;22;22;3590
18372.0;22;996;0
18373.0;22;22;3614
18373.0;22;996;0
18374.0;22;22;3646
18374.0;22;996;0
18375.0;22;22;3727
18375.0;22;996;0
18376.0;22;22;3776
18376.0;22;996;0
18377.0;22;22;3838
18377.0;22;996;0
18378.0;22;22;3894
18378.0;22;996;0
18379.0;22;22;3995
18379.0;22;996;0
18380.0;22;22;4025
18380.0;22;996;0
18381.0;22;22;4069
18381.0;22;996;0
18382.0;22;22;4116
18382.0;22;996;0
18266.0;22;22;4132
18266.0;22;996;0
18297.0;22;22;4181
18297.0;22;996;0
18326.0;22;22;4247
18326.0;22;996;0
18357.0;22;22;4258
18357.0;22;996;0
18387.0;22;22;4261
18387.0;22;996;0
18418.0;22;22;4280
18418.0;22;996;0
18448.0;22;22;4283
18448.0;22;996;0
18479.0;22;22;4285
18479.0;22;996;0
18510.0;22;22;4292
18510.0;22;996;0
18540.0;22;22;4295
18540.0;22;996;0
18571.0;22;22;4297
18571.0;22;996;0
18601.0;22;22;4303
18601.0;22;996;0
18395.0;22;22;4312
18395.0;22;996;0
18396.0;22;22;4315
18396.0;22;996;0
18397.0;22;22;4318
18397.0;22;996;0
18398.0;22;22;4326
18398.0;22;996;0
18399.0;22;22;4338
18399.0;22;996;0
18400.0;22;22;4351
18400.0;22;996;0
18401.0;22;22;4358
18401.0;22;996;0
18402.0;22;22;4368
18402.0;22;996;0
18403.0;22;22;4378
18403.0;22;996;0
18404.0;22;22;4388
18404.0;22;996;0
18405.0;22;22;4395
18405.0;22;996;0
18406.0;22;22;4404
18406.0;22;996;0
18407.0;22;22;4405
18407.0;22;996;0
18408.0;22;22;4415
18408.0;22;996;0
18409.0;22;22;4422
18409.0;22;996;0
18410.0;22;22;4425
18410.0;22;996;0
18411.0;22;22;4428
18411.0;22;996;0
18412.0;22;22;4429
18412.0;22;996;0
18413.0;22;22;4430
18413.0;22;996;0
18267.0;22;22;4432
18267.0;22;996;0
18298.0;22;22;4432
18298.0;22;996;0
18327.0;22;22;4433
18327.0;22;996;0
18358.0;22;22;4433
18358.0;22;996;0
18388.0;22;22;4433
18388.0;22;996;0
18419.0;22;22;4434
18419.0;22;996;0
18449.0;22;22;4435
18449.0;22;996;0
18480.0;22;22;4436
18480.0;22;996;0
18511.0;22;22;4439
18511.0;22;996;0
18541.0;22;22;4439
18541.0;22;996;0
18572.0;22;22;4441
18572.0;22;996;0
18602.0;22;22;4443
18602.0;22;996;0
18426.0;22;22;4446
18426.0;22;996;0
18427.0;22;22;4447
18427.0;22;996;0
18428.0;22;22;4448
18428.0;22;996;0
18429.0;22;22;4448
18429.0;22;996;0
18430.0;22;22;4449
18430.0;22;996;0
18431.0;22;22;4457
18431.0;22;996;0
18432.0;22;22;4458
18432.0;22;996;0
18433.0;22;22;4458
18433.0;22;996;0
18434.0;22;22;4463
18434.0;22;996;0
18435.0;22;22;4464
18435.0;22;996;0
18436.0;22;22;4465
18436.0;22;996;0
18437.0;22;22;4852
18437.0;22;996;0
