data;codice_regione;codice_provincia;totale_casi
18316.0;5;23;0
18316.0;5;24;0
18316.0;5;25;0
18316.0;5;26;0
18316.0;5;27;0
18316.0;5;28;0
18316.0;5;29;0
18316.0;5;999;0
18317.0;5;23;0
18317.0;5;24;0
18317.0;5;25;0
18317.0;5;26;1
18317.0;5;27;7
18317.0;5;28;30
18317.0;5;29;0
18317.0;5;999;5
18318.0;5;23;0
18318.0;5;24;0
18318.0;5;25;0
18318.0;5;26;2
18318.0;5;27;8
18318.0;5;28;40
18318.0;5;29;0
18318.0;5;999;21
18319.0;5;23;0
18319.0;5;24;3
18319.0;5;25;0
18319.0;5;26;22
18319.0;5;27;14
18319.0;5;28;59
18319.0;5;29;0
18319.0;5;999;13
18320.0;5;23;0
18320.0;5;24;3
18320.0;5;25;0
18320.0;5;26;23
18320.0;5;27;15
18320.0;5;28;68
18320.0;5;29;0
18320.0;5;999;42
18321.0;5;23;0
18321.0;5;24;3
18321.0;5;25;0
18321.0;5;26;35
18321.0;5;27;19
18321.0;5;28;81
18321.0;5;29;0
18321.0;5;999;53
18264.0;5;23;2
18264.0;5;24;3
18264.0;5;25;0
18264.0;5;26;43
18264.0;5;27;24
18264.0;5;28;105
18264.0;5;29;0
18264.0;5;999;86
18295.0;5;23;8
18295.0;5;24;3
18295.0;5;25;3
18295.0;5;26;72
18295.0;5;27;48
18295.0;5;28;135
18295.0;5;29;0
18295.0;5;999;4
18324.0;5;23;17
18324.0;5;24;5
18324.0;5;25;5
18324.0;5;26;82
18324.0;5;27;48
18324.0;5;28;144
18324.0;5;29;1
18324.0;5;999;5
18355.0;5;23;21
18355.0;5;24;10
18355.0;5;25;7
18355.0;5;26;86
18355.0;5;27;59
18355.0;5;28;162
18355.0;5;29;4
18355.0;5;999;11
18385.0;5;23;25
18385.0;5;24;19
18385.0;5;25;7
18385.0;5;26;89
18385.0;5;27;73
18385.0;5;28;175
18385.0;5;29;5
18385.0;5;999;14
18416.0;5;23;42
18416.0;5;24;24
18416.0;5;25;7
18416.0;5;26;103
18416.0;5;27;85
18416.0;5;28;198
18416.0;5;29;5
18416.0;5;999;24
18446.0;5;23;52
18446.0;5;24;37
18446.0;5;25;11
18446.0;5;26;110
18446.0;5;27;100
18446.0;5;28;216
18446.0;5;29;5
18446.0;5;999;12
18477.0;5;23;63
18477.0;5;24;50
18477.0;5;25;23
18477.0;5;26;126
18477.0;5;27;126
18477.0;5;28;255
18477.0;5;29;5
18477.0;5;999;22
18508.0;5;23;73
18508.0;5;24;53
18508.0;5;25;29
18508.0;5;26;136
18508.0;5;27;130
18508.0;5;28;273
18508.0;5;29;7
18508.0;5;999;43
18538.0;5;23;96
18538.0;5;24;73
18538.0;5;25;29
18538.0;5;26;158
18538.0;5;27;152
18538.0;5;28;296
18538.0;5;29;10
18538.0;5;999;42
18569.0;5;23;110
18569.0;5;24;92
18569.0;5;25;30
18569.0;5;26;185
18569.0;5;27;179
18569.0;5;28;373
18569.0;5;29;14
18569.0;5;999;40
18599.0;5;23;150
18599.0;5;24;122
18599.0;5;25;48
18599.0;5;26;279
18599.0;5;27;205
18599.0;5;28;439
18599.0;5;29;13
18599.0;5;999;128
18334.0;5;23;210
18334.0;5;24;141
18334.0;5;25;59
18334.0;5;26;327
18334.0;5;27;248
18334.0;5;28;523
18334.0;5;29;16
18334.0;5;999;71
18335.0;5;23;275
18335.0;5;24;164
18335.0;5;25;78
18335.0;5;26;376
18335.0;5;27;282
18335.0;5;28;611
18335.0;5;29;27
18335.0;5;999;124
18336.0;5;23;335
18336.0;5;24;235
18336.0;5;25;82
18336.0;5;26;413
18336.0;5;27;328
18336.0;5;28;658
18336.0;5;29;27
18336.0;5;999;94
18337.0;5;23;425
18337.0;5;24;287
18337.0;5;25;101
18337.0;5;26;452
18337.0;5;27;356
18337.0;5;28;715
18337.0;5;29;27
18337.0;5;999;110
18338.0;5;23;481
18338.0;5;24;325
18338.0;5;25;109
18338.0;5;26;502
18338.0;5;27;378
18338.0;5;28;781
18338.0;5;29;28
18338.0;5;999;100
18339.0;5;23;626
18339.0;5;24;393
18339.0;5;25;140
18339.0;5;26;591
18339.0;5;27;426
18339.0;5;28;882
18339.0;5;29;33
18339.0;5;999;123
18340.0;5;23;686
18340.0;5;24;424
18340.0;5;25;150
18340.0;5;26;637
18340.0;5;27;475
18340.0;5;28;924
18340.0;5;29;52
18340.0;5;999;136
18341.0;5;23;784
18341.0;5;24;518
18341.0;5;25;195
18341.0;5;26;719
18341.0;5;27;574
18341.0;5;28;1026
18341.0;5;29;67
18341.0;5;999;148
18342.0;5;23;954
18342.0;5;24;572
18342.0;5;25;212
18342.0;5;26;806
18342.0;5;27;666
18342.0;5;28;1155
18342.0;5;29;68
18342.0;5;999;184
18343.0;5;23;1046
18343.0;5;24;631
18343.0;5;25;226
18343.0;5;26;935
18343.0;5;27;732
18343.0;5;28;1277
18343.0;5;29;76
18343.0;5;999;199
18344.0;5;23;1099
18344.0;5;24;691
18344.0;5;25;254
18344.0;5;26;999
18344.0;5;27;799
18344.0;5;28;1371
18344.0;5;29;80
18344.0;5;999;212
18345.0;5;23;1228
18345.0;5;24;744
18345.0;5;25;273
18345.0;5;26;1091
18345.0;5;27;837
18345.0;5;28;1464
18345.0;5;29;82
18345.0;5;999;229
18346.0;5;23;1304
18346.0;5;24;824
18346.0;5;25;298
18346.0;5;26;1177
18346.0;5;27;874
18346.0;5;28;1636
18346.0;5;29;87
18346.0;5;999;242
18347.0;5;23;1402
18347.0;5;24;899
18347.0;5;25;313
18347.0;5;26;1254
18347.0;5;27;920
18347.0;5;28;1777
18347.0;5;29;110
18347.0;5;999;260
18348.0;5;23;1645
18348.0;5;24;966
18348.0;5;25;329
18348.0;5;26;1310
18348.0;5;27;955
18348.0;5;28;1891
18348.0;5;29;122
18348.0;5;999;279
18349.0;5;23;1754
18349.0;5;24;1036
18349.0;5;25;367
18349.0;5;26;1359
18349.0;5;27;1019
18349.0;5;28;2009
18349.0;5;29;122
18349.0;5;999;264
18350.0;5;23;1876
18350.0;5;24;1104
18350.0;5;25;396
18350.0;5;26;1402
