data;codice_regione;codice_provincia;totale_casi
18316.0;8;33;0
18316.0;8;34;0
18316.0;8;35;0
18316.0;8;36;0
18316.0;8;37;0
18316.0;8;38;0
18316.0;8;39;0
18316.0;8;40;0
18316.0;8;99;0
18316.0;8;984;0
18317.0;8;33;18
18317.0;8;34;4
18317.0;8;35;0
18317.0;8;36;3
18317.0;8;37;0
18317.0;8;38;0
18317.0;8;39;0
18317.0;8;40;0
18317.0;8;99;1
18317.0;8;984;0
18318.0;8;33;28
18318.0;8;34;8
18318.0;8;35;0
18318.0;8;36;8
18318.0;8;37;0
18318.0;8;38;0
18318.0;8;39;0
18318.0;8;40;0
18318.0;8;99;3
18318.0;8;984;0
18319.0;8;33;63
18319.0;8;34;10
18319.0;8;35;0
18319.0;8;36;18
18319.0;8;37;0
18319.0;8;38;0
18319.0;8;39;0
18319.0;8;40;0
18319.0;8;99;6
18319.0;8;984;0
18320.0;8;33;89
18320.0;8;34;27
18320.0;8;35;1
18320.0;8;36;18
18320.0;8;37;0
18320.0;8;38;0
18320.0;8;39;1
18320.0;8;40;0
18320.0;8;99;9
18320.0;8;984;0
18321.0;8;33;138
18321.0;8;34;35
18321.0;8;35;4
18321.0;8;36;22
18321.0;8;37;2
18321.0;8;38;0
18321.0;8;39;1
18321.0;8;40;0
18321.0;8;99;15
18321.0;8;984;0
18264.0;8;33;174
18264.0;8;34;59
18264.0;8;35;7
18264.0;8;36;24
18264.0;8;37;2
18264.0;8;38;0
18264.0;8;39;2
18264.0;8;40;1
18264.0;8;99;16
18264.0;8;984;0
18295.0;8;33;212
18295.0;8;34;61
18295.0;8;35;8
18295.0;8;36;29
18295.0;8;37;3
18295.0;8;38;0
18295.0;8;39;2
18295.0;8;40;1
18295.0;8;99;19
18295.0;8;984;0
18324.0;8;33;256
18324.0;8;34;84
18324.0;8;35;14
18324.0;8;36;33
18324.0;8;37;6
18324.0;8;38;0
18324.0;8;39;2
18324.0;8;40;1
18324.0;8;99;24
18324.0;8;984;0
18355.0;8;33;319
18355.0;8;34;115
18355.0;8;35;20
18355.0;8;36;41
18355.0;8;37;11
18355.0;8;38;0
18355.0;8;39;2
18355.0;8;40;2
18355.0;8;99;33
18355.0;8;984;1
18385.0;8;33;378
18385.0;8;34;150
18385.0;8;35;31
18385.0;8;36;45
18385.0;8;37;19
18385.0;8;38;0
18385.0;8;39;3
18385.0;8;40;4
18385.0;8;99;68
18385.0;8;984;0
18416.0;8;33;426
18416.0;8;34;181
18416.0;8;35;44
18416.0;8;36;73
18416.0;8;37;41
18416.0;8;38;1
18416.0;8;39;8
18416.0;8;40;3
18416.0;8;99;93
18416.0;8;984;0
18446.0;8;33;479
18446.0;8;34;229
18446.0;8;35;48
18446.0;8;36;82
18446.0;8;37;49
18446.0;8;38;2
18446.0;8;39;10
18446.0;8;40;7
18446.0;8;99;104
18446.0;8;984;0
18477.0;8;33;528
18477.0;8;34;276
18477.0;8;35;70
18477.0;8;36;97
18477.0;8;37;62
18477.0;8;38;6
18477.0;8;39;13
18477.0;8;40;15
18477.0;8;99;113
18477.0;8;984;0
18508.0;8;33;602
18508.0;8;34;279
18508.0;8;35;103
18508.0;8;36;116
18508.0;8;37;80
18508.0;8;38;7
18508.0;8;39;19
18508.0;8;40;16
18508.0;8;99;164
18508.0;8;984;0
18538.0;8;33;633
18538.0;8;34;325
18538.0;8;35;104
18538.0;8;36;127
18538.0;8;37;86
18538.0;8;38;8
18538.0;8;39;24
18538.0;8;40;20
18538.0;8;99;206
18538.0;8;984;0
18569.0;8;33;664
18569.0;8;34;378
18569.0;8;35;114
18569.0;8;36;163
18569.0;8;37;108
18569.0;8;38;12
18569.0;8;39;31
18569.0;8;40;24
18569.0;8;99;245
18569.0;8;984;0
18599.0;8;33;679
18599.0;8;34;430
18599.0;8;35;123
18599.0;8;36;190
18599.0;8;37;122
18599.0;8;38;17
18599.0;8;39;41
18599.0;8;40;33
18599.0;8;99;312
18599.0;8;984;0
18334.0;8;33;710
18334.0;8;34;518
18334.0;8;35;138
18334.0;8;36;251
18334.0;8;37;155
18334.0;8;38;24
18334.0;8;39;55
18334.0;8;40;49
18334.0;8;99;363
18334.0;8;984;0
18335.0;8;33;853
18335.0;8;34;570
18335.0;8;35;153
18335.0;8;36;306
18335.0;8;37;195
18335.0;8;38;29
18335.0;8;39;78
18335.0;8;40;62
18335.0;8;99;398
18335.0;8;984;0
18336.0;8;33;1012
18336.0;8;34;662
18336.0;8;35;185
18336.0;8;36;367
18336.0;8;37;230
18336.0;8;38;34
18336.0;8;39;100
18336.0;8;40;78
18336.0;8;99;425
18336.0;8;984;0
18337.0;8;33;1073
18337.0;8;34;707
18337.0;8;35;241
18337.0;8;36;440
18337.0;8;37;291
18337.0;8;38;44
18337.0;8;39;114
18337.0;8;40;103
18337.0;8;99;509
18337.0;8;984;0
18338.0;8;33;1204
18338.0;8;34;800
18338.0;8;35;299
18338.0;8;36;460
18338.0;8;37;333
18338.0;8;38;58
18338.0;8;39;124
18338.0;8;40;144
18338.0;8;99;509
18338.0;8;984;0
18339.0;8;33;1340
18339.0;8;34;800
18339.0;8;35;414
18339.0;8;36;575
18339.0;8;37;395
18339.0;8;38;64
18339.0;8;39;153
18339.0;8;40;171
18339.0;8;99;613
18339.0;8;984;0
18340.0;8;33;1428
18340.0;8;34;869
18340.0;8;35;608
18340.0;8;36;663
18340.0;8;37;465
18340.0;8;38;78
18340.0;8;39;185
18340.0;8;40;227
18340.0;8;99;691
18340.0;8;984;0
18341.0;8;33;1575
18341.0;8;34;979
18341.0;8;35;773
18341.0;8;36;767
18341.0;8;37;552
18341.0;8;38;102
18341.0;8;39;213
18341.0;8;40;250
18341.0;8;99;757
18341.0;8;984;0
18342.0;8;33;1693
18342.0;8;34;1014
18342.0;8;35;977
18342.0;8;36;906
18342.0;8;37;610
18342.0;8;38;123
18342.0;8;39;287
18342.0;8;40;269
18342.0;8;99;826
18342.0;8;984;0
18343.0;8;33;1765
18343.0;8;34;1209
18343.0;8;35;1167
18343.0;8;36;1010
18343.0;8;37;674
18343.0;8;38;150
18343.0;8;39;309
18343.0;8;40;329
18343.0;8;99;942
18343.0;8;984;0
18344.0;8;33;1885
18344.0;8;34;1364
18344.0;8;35;1369
18344.0;8;36;1155
18344.0;8;37;833
18344.0;8;38;172
18344.0;8;39;342
18344.0;8;40;380
18344.0;8;99;1035
18344.0;8;984;0
18345.0;8;33;1981
18345.0;8;34;1435
18345.0;8;35;1437
18345.0;8;36;1354
18345.0;8;37;968
18345.0;8;38;190
18345.0;8;39;368
18345.0;8;40;437
18345.0;8;99;1084
18345.0;8;984;0
18346.0;8;33;2122
18346.0;8;34;1525
18346.0;8;35;1586
18346.0;8;36;1533
18346.0;8;37;1107
18346.0;8;38;204
18346.0;8;39;387
18346.0;8;40;454
18346.0;8;99;1136
18346.0;8;984;0
18347.0;8;33;2213
18347.0;8;34;1611
18347.0;8;35;1698
18347.0;8;36;1676
18347.0;8;37;1253
18347.0;8;38;212
18347.0;8;39;451
18347.0;8;40;513
18347.0;8;99;1189
18347.0;8;984;0
18348.0;8;33;2276
18348.0;8;34;1690
18348.0;8;35;1861
18348.0;8;36;1772
18348.0;8;37;1413
18348.0;8;38;244
18348.0;8;39;488
18348.0;8;40;580
18348.0;8;99;1264
18348.0;8;984;0
18349.0;8;33;2390
18349.0;8;34;1752
18349.0;8;35;1996
18349.0;8;36;1922
18349.0;8;37;1586
18349.0;8;38;281
18349.0;8;39;521
18349.0;8;40;612
18349.0;8;99;1323
18349.0;8;984;0
18350.0;8;33;2475
18350.0;8;34;1809
18350.0;8;35;2146
18350.0;8;36;2094
18350.0;8;37;1743
18350.0;8;38;300
18350.0;8;39;553
18350.0;8;40;642
18350.0;8;99;1357
18350.0;8;984;0
18351.0;8;33;2516
18351.0;8;34;1859
18351.0;8;35;2208
18351.0;8;36;2137
18351.0;8;37;1872
18351.0;8;38;306
18351.0;8;39;568
18351.0;8;40;683
18351.0;8;99;1382
18351.0;8;984;0
18352.0;8;33;2635
18352.0;8;34;1933
18352.0;8;35;2307
18352.0;8;36;2222
18352.0;8;37;1940
18352.0;8;38;320
18352.0;8;39;580
18352.0;8;40;730
18352.0;8;99;1407
18352.0;8;984;0
18265.0;8;33;2716
18265.0;8;34;2005
18265.0;8;35;2553
18265.0;8;36;2297
18265.0;8;37;2084
18265.0;8;38;326
18265.0;8;39;605
18265.0;8;40;756
18265.0;8;99;1445
18265.0;8;984;0
18296.0;8;33;2765
18296.0;8;34;2049
18296.0;8;35;2665
18296.0;8;36;2416
18296.0;8;37;2225
18296.0;8;38;341
18296.0;8;39;627
18296.0;8;40;789
