data;codice_regione;codice_provincia;totale_casi
18316.0;14;70;0
18316.0;14;94;0
18316.0;14;990;0
18317.0;14;70;0
18317.0;14;94;0
18317.0;14;990;0
18318.0;14;70;0
18318.0;14;94;0
18318.0;14;990;0
18319.0;14;70;0
18319.0;14;94;0
18319.0;14;990;0
18320.0;14;70;0
18320.0;14;94;0
18320.0;14;990;0
18321.0;14;70;0
18321.0;14;94;0
18321.0;14;990;0
18264.0;14;70;0
18264.0;14;94;0
18264.0;14;990;0
18295.0;14;70;0
18295.0;14;94;0
18295.0;14;990;0
18324.0;14;70;3
18324.0;14;94;0
18324.0;14;990;0
18355.0;14;70;3
18355.0;14;94;0
18355.0;14;990;0
18385.0;14;70;7
18385.0;14;94;0
18385.0;14;990;0
18416.0;14;70;12
18416.0;14;94;0
18416.0;14;990;0
18446.0;14;70;14
18446.0;14;94;0
18446.0;14;990;0
18477.0;14;70;14
18477.0;14;94;0
18477.0;14;990;0
18508.0;14;70;14
18508.0;14;94;0
18508.0;14;990;0
18538.0;14;70;15
18538.0;14;94;0
18538.0;14;990;0
18569.0;14;70;16
18569.0;14;94;0
18569.0;14;990;0
18599.0;14;70;16
18599.0;14;94;0
18599.0;14;990;0
18334.0;14;70;17
18334.0;14;94;0
18334.0;14;990;0
18335.0;14;70;17
18335.0;14;94;0
18335.0;14;990;0
18336.0;14;70;17
18336.0;14;94;0
18336.0;14;990;0
18337.0;14;70;21
18337.0;14;94;0
18337.0;14;990;0
18338.0;14;70;25
18338.0;14;94;0
18338.0;14;990;0
18339.0;14;70;24
18339.0;14;94;1
18339.0;14;990;3
18340.0;14;70;33
18340.0;14;94;4
18340.0;14;990;9
18341.0;14;70;39
18341.0;14;94;4
18341.0;14;990;7
18342.0;14;70;49
18342.0;14;94;4
18342.0;14;990;8
18343.0;14;70;53
18343.0;14;94;4
18343.0;14;990;9
18344.0;14;70;54
18344.0;14;94;4
18344.0;14;990;9
18345.0;14;70;60
18345.0;14;94;4
18345.0;14;990;9
18346.0;14;70;60
18346.0;14;94;4
18346.0;14;990;9
18347.0;14;70;85
18347.0;14;94;9
18347.0;14;990;9
18348.0;14;70;91
18348.0;14;94;9
18348.0;14;990;9
18349.0;14;70;97
18349.0;14;94;13
18349.0;14;990;13
18350.0;14;70;108
18350.0;14;94;9
18350.0;14;990;10
18351.0;14;70;114
18351.0;14;94;9
18351.0;14;990;11
18352.0;14;70;124
18352.0;14;94;9
18352.0;14;990;11
18265.0;14;70;139
