data;codice_regione;codice_provincia;totale_casi
18316.0;17;76;0
18316.0;17;77;0
18316.0;17;980;0
18317.0;17;76;0
18317.0;17;77;0
18317.0;17;980;0
18318.0;17;76;0
18318.0;17;77;0
18318.0;17;980;0
18319.0;17;76;0
18319.0;17;77;0
18319.0;17;980;0
18320.0;17;76;0
18320.0;17;77;0
18320.0;17;980;0
18321.0;17;76;0
18321.0;17;77;0
18321.0;17;980;0
18264.0;17;76;0
18264.0;17;77;0
18264.0;17;980;0
18295.0;17;76;0
18295.0;17;77;0
18295.0;17;980;0
18324.0;17;76;1
18324.0;17;77;0
18324.0;17;980;0
18355.0;17;76;1
18355.0;17;77;0
18355.0;17;980;0
18385.0;17;76;1
18385.0;17;77;0
18385.0;17;980;0
18416.0;17;76;2
18416.0;17;77;1
18416.0;17;980;0
18446.0;17;76;2
18446.0;17;77;1
18446.0;17;980;0
18477.0;17;76;2
18477.0;17;77;2
18477.0;17;980;0
18508.0;17;76;2
18508.0;17;77;3
18508.0;17;980;0
18538.0;17;76;4
18538.0;17;77;3
18538.0;17;980;0
18569.0;17;76;5
18569.0;17;77;3
18569.0;17;980;0
18599.0;17;76;5
18599.0;17;77;3
18599.0;17;980;0
18334.0;17;76;7
18334.0;17;77;3
18334.0;17;980;0
18335.0;17;76;7
18335.0;17;77;3
18335.0;17;980;0
18336.0;17;76;7
18336.0;17;77;4
18336.0;17;980;0
18337.0;17;76;8
18337.0;17;77;4
18337.0;17;980;0
18338.0;17;76;16
18338.0;17;77;4
18338.0;17;980;0
18339.0;17;76;22
18339.0;17;77;5
18339.0;17;980;0
18340.0;17;76;30
18340.0;17;77;7
18340.0;17;980;0
18341.0;17;76;43
18341.0;17;77;9
18341.0;17;980;0
18342.0;17;76;58
18342.0;17;77;8
18342.0;17;980;0
18343.0;17;76;65
18343.0;17;77;16
18343.0;17;980;0
18344.0;17;76;72
18344.0;17;77;18
18344.0;17;980;0
18345.0;17;76;67
18345.0;17;77;25
18345.0;17;980;0
18346.0;17;76;70
18346.0;17;77;36
18346.0;17;980;7
18347.0;17;76;86
18347.0;17;77;48
18347.0;17;980;0
18348.0;17;76;98
18348.0;17;77;53
18348.0;17;980;0
18349.0;17;76;106
18349.0;17;77;76
18349.0;17;980;0
18350.0;17;76;118
18350.0;17;77;84
18350.0;17;980;0
18351.0;17;76;122
18351.0;17;77;92
18351.0;17;980;0
18352.0;17;76;122
18352.0;17;77;104
18352.0;17;980;0
18265.0;17;76;123
