date;state;death;hospitalized;inIcuCumulative;negative;onVentilatorCumulative;positive;recovered;totalTestResults;totalTestsViral
18341.0;16;0.0;0.0;0.0;590.0;0.0;23.0;0.0;613.0;613.0
18342.0;16;0.0;0.0;0.0;880.0;0.0;31.0;0.0;911.0;911.0
18343.0;16;0.0;0.0;0.0;1175.0;0.0;42.0;0.0;1217.0;1217.0
18344.0;16;0.0;0.0;0.0;1309.0;0.0;47.0;0.0;1356.0;1356.0
18345.0;16;0.0;0.0;0.0;1887.0;0.0;50.0;0.0;1937.0;1937.0
18346.0;16;0.0;0.0;0.0;1887.0;0.0;73.0;0.0;1960.0;1960.0
18347.0;16;0.0;0.0;0.0;2065.0;0.0;123.0;0.0;2188.0;2188.0
18348.0;16;3.0;0.0;0.0;2668.0;0.0;189.0;0.0;2857.0;2857.0
18349.0;16;4.0;25.0;0.0;3342.0;0.0;230.0;0.0;3572.0;3572.0
18350.0;16;5.0;36.0;0.0;4021.0;0.0;261.0;0.0;4282.0;4282.0
18351.0;16;6.0;39.0;0.0;4396.0;0.0;310.0;0.0;4706.0;4706.0
18352.0;16;7.0;45.0;6.0;5297.0;0.0;415.0;0.0;5712.0;5712.0
18265.0;16;9.0;46.0;7.0;6076.0;0.0;525.0;0.0;6601.0;6601.0
18296.0;16;9.0;49.0;7.0;6613.0;0.0;669.0;0.0;7282.0;7282.0
18325.0;16;9.0;56.0;7.0;7054.0;0.0;891.0;0.0;7945.0;7945.0
18356.0;16;10.0;62.0;8.0;7857.0;0.0;1013.0;0.0;8870.0;8870.0
18386.0;16;10.0;66.0;11.0;9184.0;0.0;1077.0;0.0;10261.0;10261.0
18417.0;16;10.0;77.0;16.0;9894.0;0.0;1101.0;0.0;10995.0;10995.0
18447.0;16;13.0;83.0;21.0;10076.0;0.0;1170.0;0.0;11246.0;11246.0
18478.0;16;15.0;93.0;24.0;10688.0;0.0;1210.0;0.0;11898.0;11898.0
18509.0;16;18.0;113.0;29.0;11299.0;0.0;1232.0;0.0;12531.0;12531.0
18539.0;16;24.0;127.0;33.0;11741.0;0.0;1353.0;0.0;13094.0;13094.0
18570.0;16;25.0;128.0;35.0;12368.0;0.0;1396.0;0.0;13764.0;13764.0
18600.0;16;27.0;131.0;38.0;12901.0;0.0;1407.0;0.0;14308.0;14308.0
18365.0;16;27.0;132.0;38.0;13455.0;0.0;1426.0;0.0;14881.0;14881.0
18366.0;16;33.0;135.0;38.0;13661.0;0.0;1453.0;0.0;15114.0;15114.0
18367.0;16;39.0;141.0;43.0;13934.0;0.0;1464.0;0.0;15398.0;15398.0
18368.0;16;41.0;143.0;46.0;14655.0;0.0;1587.0;0.0;16242.0;16242.0
18369.0;16;41.0;148.0;51.0;15043.0;0.0;1609.0;390.0;16652.0;16652.0
18370.0;16;43.0;151.0;53.0;15292.0;0.0;1655.0;453.0;16947.0;16947.0
18371.0;16;44.0;151.0;53.0;15773.0;0.0;1668.0;520.0;17441.0;17441.0
18372.0;16;45.0;151.0;53.0;15773.0;0.0;1672.0;585.0;17445.0;17445.0
18373.0;16;48.0;157.0;58.0;16071.0;0.0;1736.0;660.0;17807.0;17807.0
18374.0;16;51.0;158.0;58.0;16404.0;0.0;1766.0;710.0;18170.0;18170.0
18375.0;16;54.0;162.0;60.0;17370.0;0.0;1802.0;767.0;19172.0;19172.0
18376.0;16;54.0;166.0;63.0;17611.0;0.0;1836.0;822.0;19447.0;19447.0
18377.0;16;54.0;168.0;71.0;17611.0;0.0;1870.0;867.0;19481.0;19481.0
18378.0;16;56.0;169.0;72.0;17611.0;0.0;1887.0;938.0;19498.0;19498.0
18379.0;16;56.0;169.0;71.0;18127.0;0.0;1897.0;983.0;20024.0;20024.0
18380.0;16;58.0;172.0;73.0;18135.0;0.0;1917.0;1039.0;20052.0;20052.0
18381.0;16;60.0;173.0;73.0;26430.0;0.0;1952.0;1087.0;28240.0;28240.0
18382.0;16;60.0;175.0;74.0;26862.0;0.0;1984.0;1121.0;28693.0;28693.0
18266.0;16;63.0;178.0;75.0;27210.0;0.0;2015.0;1175.0;29070.0;29070.0
18297.0;16;63.0;178.0;76.0;27455.0;0.0;2035.0;1215.0;29335.0;29335.0
18326.0;16;63.0;200.0;83.0;27746.0;0.0;2061.0;1267.0;29651.0;29651.0
18357.0;16;64.0;200.0;83.0;27746.0;0.0;2061.0;1267.0;29651.0;29651.0
18387.0;16;64.0;201.0;83.0;28202.0;0.0;2106.0;1358.0;30146.0;30146.0
18418.0;16;65.0;203.0;84.0;28418.0;0.0;2127.0;1379.0;30375.0;30375.0
18448.0;16;66.0;205.0;86.0;28732.0;0.0;2158.0;1399.0;30718.0;30718.0
18479.0;16;67.0;206.0;86.0;29092.0;0.0;2178.0;1420.0;31099.0;31099.0
18510.0;16;67.0;206.0;86.0;29601.0;0.0;2205.0;1442.0;31628.0;31628.0
18540.0;16;67.0;207.0;87.0;29912.0;0.0;2230.0;1473.0;31961.0;31961.0
18571.0;16;67.0;207.0;87.0;29912.0;0.0;2230.0;1473.0;31961.0;31961.0
18601.0;16;70.0;210.0;87.0;30445.0;0.0;2260.0;1508.0;32518.0;32518.0
18395.0;16;69.0;214.0;88.0;30835.0;0.0;2293.0;1536.0;32934.0;32934.0
18396.0;16;69.0;212.0;88.0;31430.0;0.0;2324.0;1557.0;33556.0;33556.0
18397.0;16;72.0;212.0;89.0;32394.0;0.0;2351.0;1573.0;34546.0;34546.0
18398.0;16;73.0;213.0;89.0;33299.0;0.0;2389.0;1588.0;35485.0;35485.0
18399.0;16;73.0;213.0;89.0;34253.0;0.0;2419.0;1612.0;36456.0;36456.0
18400.0;16;73.0;213.0;89.0;34253.0;0.0;2419.0;1612.0;36456.0;36456.0
18401.0;16;74.0;213.0;89.0;35614.0;0.0;2455.0;1649.0;37847.0;37847.0
18402.0;16;77.0;215.0;89.0;36091.0;0.0;2476.0;1668.0;38344.0;38344.0
18403.0;16;77.0;221.0;91.0;36382.0;0.0;2506.0;1688.0;38660.0;38660.0
18404.0;16;77.0;223.0;92.0;37061.0;0.0;2534.0;1720.0;39362.0;39362.0
18405.0;16;79.0;225.0;94.0;38014.0;0.0;2595.0;1735.0;40370.0;40370.0
18406.0;16;79.0;225.0;94.0;38780.0;0.0;2626.0;1755.0;41167.0;41167.0
18407.0;16;79.0;225.0;94.0;38780.0;0.0;2626.0;1755.0;41167.0;41167.0
18408.0;16;79.0;225.0;94.0;38780.0;0.0;2626.0;1755.0;41167.0;41167.0
18409.0;16;81.0;231.0;95.0;40318.0;0.0;2699.0;2100.0;42776.0;42776.0
18410.0;16;82.0;234.0;95.0;41144.0;0.0;2731.0;2185.0;43629.0;43629.0
18411.0;16;82.0;238.0;96.0;41992.0;0.0;2769.0;2195.0;44511.0;44511.0
18412.0;16;82.0;240.0;96.0;42621.0;0.0;2803.0;2225.0;45172.0;45172.0
18413.0;16;82.0;242.0;96.0;43858.0;0.0;2839.0;2248.0;46436.0;46436.0
18267.0;16;82.0;242.0;96.0;43858.0;0.0;2839.0;2248.0;46436.0;46436.0
18298.0;16;83.0;247.0;98.0;45227.0;0.0;2906.0;2266.0;47870.0;47870.0
18327.0;16;83.0;251.0;98.0;46009.0;0.0;2933.0;2282.0;48669.0;48669.0
18358.0;16;83.0;253.0;98.0;46815.0;0.0;2990.0;2311.0;49524.0;49524.0
18388.0;16;83.0;255.0;98.0;50570.0;0.0;3054.0;2362.0;53333.0;53333.0
18419.0;16;83.0;257.0;98.0;52128.0;0.0;3111.0;2408.0;54949.0;54949.0
18449.0;16;83.0;260.0;99.0;52902.0;0.0;3139.0;2461.0;55742.0;55742.0
