date;state;death;hospitalized;inIcuCumulative;negative;onVentilatorCumulative;positive;recovered;totalTestResults;totalTestsViral
18341.0;3;0.0;0.0;0.0;351.0;0.0;96.0;0.0;447.0;447.0
18342.0;3;0.0;0.0;0.0;567.0;0.0;118.0;0.0;685.0;685.0
18343.0;3;0.0;0.0;0.0;711.0;0.0;165.0;0.0;876.0;876.0
18344.0;3;0.0;0.0;0.0;906.0;0.0;174.0;0.0;1080.0;1080.0
18345.0;3;0.0;0.0;0.0;947.0;0.0;218.0;0.0;1165.0;1165.0
18346.0;3;2.0;0.0;0.0;1437.0;0.0;280.0;11.0;1717.0;1717.0
18347.0;3;3.0;0.0;0.0;1504.0;0.0;335.0;13.0;1839.0;1839.0
18348.0;3;3.0;0.0;0.0;1545.0;0.0;381.0;19.0;1926.0;1926.0
18349.0;3;5.0;0.0;0.0;2938.0;0.0;404.0;24.0;3342.0;3342.0
18350.0;3;6.0;0.0;0.0;3027.0;0.0;426.0;28.0;3453.0;3453.0
18351.0;3;7.0;0.0;0.0;5262.0;0.0;473.0;29.0;5735.0;5735.0
18352.0;3;8.0;0.0;0.0;5959.0;0.0;523.0;35.0;6482.0;6482.0
18265.0;3;10.0;90.0;0.0;7354.0;32.0;584.0;42.0;7938.0;7938.0
18296.0;3;12.0;100.0;0.0;7880.0;32.0;643.0;47.0;8523.0;8523.0
18325.0;3;12.0;105.0;0.0;8995.0;39.0;704.0;60.0;9699.0;9699.0
18356.0;3;14.0;106.0;0.0;9627.0;39.0;743.0;79.0;10370.0;10370.0
18386.0;3;16.0;130.0;0.0;10412.0;39.0;830.0;97.0;11242.0;11242.0
18417.0;3;16.0;137.0;0.0;11970.0;39.0;875.0;102.0;12845.0;12845.0
18447.0;3;16.0;148.0;0.0;12692.0;43.0;946.0;142.0;13638.0;13638.0
18478.0;3;18.0;130.0;43.0;13530.0;39.0;1000.0;208.0;14530.0;14530.0
18509.0;3;21.0;130.0;43.0;13832.0;39.0;1119.0;288.0;14951.0;14951.0
18539.0;3;23.0;130.0;43.0;15949.0;39.0;1171.0;312.0;17120.0;17120.0
18570.0;3;24.0;130.0;43.0;17352.0;39.0;1226.0;340.0;18578.0;18578.0
18600.0;3;27.0;130.0;43.0;18442.0;39.0;1280.0;367.0;19722.0;19722.0
18365.0;3;30.0;130.0;43.0;19394.0;39.0;1410.0;391.0;20804.0;20804.0
18366.0;3;30.0;130.0;43.0;19651.0;39.0;1480.0;427.0;21131.0;21131.0
18367.0;3;33.0;130.0;43.0;20265.0;39.0;1569.0;489.0;21834.0;21834.0
18368.0;3;37.0;0.0;0.0;21055.0;0.0;1620.0;548.0;22675.0;22675.0
18369.0;3;37.0;0.0;0.0;21799.0;0.0;1695.0;593.0;23494.0;23494.0
18370.0;3;38.0;291.0;0.0;22402.0;57.0;1739.0;703.0;24141.0;24141.0
18371.0;3;40.0;291.0;0.0;22428.0;57.0;1781.0;721.0;24209.0;24209.0
