date;state;death;hospitalized;inIcuCumulative;negative;onVentilatorCumulative;positive;recovered;totalTestResults;totalTestsViral
18341.0;26;0.0;0.0;0.0;3741.0;0.0;303.0;0.0;4044.0;0.0
18342.0;26;1.0;0.0;0.0;3952.0;0.0;327.0;0.0;4279.0;0.0
18343.0;26;1.0;12.0;0.0;4511.0;0.0;349.0;0.0;4860.0;0.0
18344.0;26;1.0;17.0;0.0;4511.0;0.0;393.0;0.0;4904.0;0.0
18345.0;26;1.0;21.0;0.0;5550.0;0.0;444.0;0.0;5994.0;0.0
18346.0;26;1.0;35.0;0.0;11188.0;0.0;502.0;121.0;11690.0;0.0
18347.0;26;2.0;41.0;0.0;12604.0;0.0;565.0;0.0;13169.0;0.0
18348.0;26;4.0;51.0;17.0;13605.0;0.0;640.0;176.0;14245.0;0.0
18349.0;26;5.0;57.0;17.0;17395.0;0.0;687.0;215.0;18082.0;0.0
18350.0;26;9.0;75.0;17.0;18566.0;0.0;725.0;243.0;19291.0;0.0
18351.0;26;10.0;92.0;24.0;19512.0;0.0;823.0;0.0;20335.0;0.0
18352.0;26;12.0;112.0;26.0;20935.0;0.0;916.0;0.0;21851.0;0.0
18265.0;26;17.0;122.0;27.0;21880.0;0.0;973.0;0.0;22853.0;0.0
18296.0;26;18.0;138.0;38.0;23780.0;0.0;1056.0;0.0;24836.0;0.0
18325.0;26;22.0;156.0;40.0;25063.0;0.0;1119.0;0.0;26182.0;0.0
18356.0;26;24.0;180.0;69.0;26687.0;0.0;1158.0;416.0;27845.0;0.0
18386.0;26;29.0;202.0;77.0;28090.0;0.0;1217.0;422.0;29307.0;0.0
18417.0;26;30.0;223.0;90.0;29155.0;0.0;1330.0;440.0;30485.0;0.0
18447.0;26;34.0;242.0;100.0;30603.0;0.0;1432.0;515.0;32035.0;0.0
18478.0;26;39.0;271.0;105.0;31954.0;0.0;1534.0;593.0;33488.0;0.0
18509.0;26;50.0;293.0;119.0;33682.0;0.0;1637.0;625.0;35319.0;0.0
18539.0;26;57.0;317.0;131.0;35346.0;0.0;1732.0;675.0;37078.0;0.0
18570.0;26;64.0;340.0;138.0;36898.0;0.0;1806.0;729.0;38704.0;0.0
18600.0;26;70.0;361.0;146.0;38030.0;0.0;1864.0;772.0;39894.0;0.0
18365.0;26;70.0;361.0;146.0;38667.0;0.0;2012.0;772.0;40679.0;0.0
18366.0;26;79.0;405.0;155.0;39705.0;0.0;2165.0;830.0;41870.0;0.0
18367.0;26;87.0;445.0;175.0;41245.0;0.0;2321.0;853.0;43566.0;0.0
18368.0;26;94.0;475.0;188.0;42536.0;0.0;2486.0;926.0;45022.0;0.0
18369.0;26;111.0;518.0;202.0;43820.0;0.0;2668.0;955.0;46488.0;0.0
18370.0;26;121.0;561.0;215.0;45182.0;0.0;2788.0;997.0;47970.0;0.0
18371.0;26;134.0;574.0;226.0;46288.0;0.0;2914.0;1026.0;49202.0;0.0
18372.0;26;143.0;602.0;241.0;46854.0;0.0;3190.0;1059.0;50044.0;0.0
18373.0;26;160.0;629.0;253.0;48341.0;0.0;3452.0;1094.0;51793.0;0.0
18374.0;26;179.0;660.0;262.0;50165.0;0.0;3758.0;1138.0;53923.0;0.0
18375.0;26;200.0;712.0;274.0;52144.0;0.0;4270.0;1336.0;56414.0;0.0
18376.0;26;221.0;756.0;281.0;54706.0;0.0;4788.0;1373.0;59494.0;0.0
18377.0;26;244.0;797.0;291.0;56982.0;0.0;5127.0;1410.0;62109.0;0.0
18378.0;26;272.0;829.0;301.0;59161.0;0.0;5512.0;1502.0;64673.0;0.0
18379.0;26;286.0;861.0;316.0;60503.0;0.0;6187.0;1556.0;66690.0;0.0
18380.0;26;301.0;912.0;324.0;63248.0;0.0;6788.0;1611.0;70036.0;0.0
18381.0;26;319.0;950.0;337.0;69650.0;0.0;7468.0;1724.0;77118.0;0.0
18382.0;26;343.0;1044.0;358.0;73349.0;0.0;8116.0;1829.0;81465.0;0.0
18266.0;26;371.0;1096.0;380.0;77214.0;0.0;8736.0;1911.0;85950.0;0.0
18297.0;26;395.0;1159.0;404.0;80609.0;0.0;9071.0;2002.0;89680.0;0.0
18326.0;26;419.0;1199.0;426.0;83433.0;0.0;9411.0;2596.0;92844.0;0.0
18357.0;26;428.0;1271.0;444.0;86677.0;0.0;10235.0;3784.0;96912.0;0.0
18387.0;26;455.0;1350.0;475.0;89202.0;0.0;10876.0;4159.0;100078.0;0.0
18418.0;26;485.0;1405.0;488.0;93047.0;0.0;11510.0;4520.0;104557.0;0.0
18448.0;26;508.0;1459.0;512.0;97244.0;0.0;12328.0;4800.0;109572.0;0.0
18479.0;26;534.0;1549.0;540.0;101408.0;0.0;13040.0;5163.0;114448.0;0.0
18510.0;26;558.0;1612.0;556.0;106040.0;0.0;13321.0;5764.0;119361.0;0.0
18540.0;26;578.0;1657.0;581.0;111109.0;0.0;13552.0;6304.0;124661.0;0.0
18571.0;26;591.0;1716.0;600.0;115585.0;0.0;14379.0;6945.0;129964.0;0.0
18601.0;26;614.0;1799.0;625.0;118934.0;0.0;15043.0;7609.0;133977.0;0.0
18395.0;26;638.0;1851.0;647.0;125502.0;0.0;15772.0;8149.0;141274.0;0.0
18396.0;26;663.0;1915.0;663.0;131443.0;0.0;16565.0;8473.0;148008.0;0.0
18397.0;26;692.0;1985.0;679.0;139773.0;0.0;17363.0;8820.0;157136.0;0.0
18398.0;26;709.0;2039.0;700.0;147399.0;0.0;17705.0;9571.0;165104.0;0.0
18399.0;26;731.0;2090.0;716.0;153069.0;0.0;18016.0;10175.0;171077.0;0.0
18400.0;26;740.0;2128.0;731.0;158487.0;0.0;18987.0;10764.0;177474.0;0.0
18401.0;26;757.0;2221.0;750.0;164009.0;0.0;19842.0;11540.0;183851.0;0.0
18402.0;26;786.0;2308.0;773.0;170199.0;0.0;20609.0;12227.0;190808.0;0.0
18403.0;26;818.0;2380.0;787.0;177506.0;0.0;21582.0;12488.0;199088.0;0.0
18404.0;26;851.0;2432.0;806.0;186436.0;0.0;22374.0;12696.0;208810.0;0.0
18405.0;26;861.0;2534.0;832.0;194941.0;0.0;22765.0;13485.0;217706.0;0.0
18406.0;26;878.0;2588.0;841.0;201566.0;0.0;23121.0;14115.0;224687.0;0.0
18407.0;26;890.0;2676.0;869.0;207816.0;0.0;23524.0;14816.0;231340.0;0.0
18408.0;26;908.0;2709.0;886.0;213974.0;0.0;24308.0;15523.0;238282.0;0.0
18409.0;26;942.0;2796.0;902.0;222821.0;0.0;24988.0;16314.0;247809.0;0.0
18410.0;26;977.0;2880.0;924.0;232195.0;0.0;25559.0;16655.0;257754.0;0.0
18411.0;26;1006.0;2936.0;938.0;242124.0;0.0;26013.0;16930.0;268137.0;0.0
18412.0;26;1036.0;3011.0;960.0;250392.0;0.0;26181.0;17864.0;276573.0;0.0
18413.0;26;1050.0;3047.0;971.0;257133.0;0.0;26322.0;18695.0;283455.0;0.0
18267.0;26;1060.0;3086.0;981.0;260739.0;0.0;26897.0;19441.0;287636.0;0.0
18298.0;26;1082.0;3134.0;1003.0;267931.0;0.0;27376.0;20381.0;295307.0;0.0
18327.0;26;1097.0;3203.0;1022.0;283319.0;0.0;27889.0;21169.0;311208.0;0.0
18358.0;26;1126.0;3253.0;1033.0;293858.0;0.0;28290.0;21490.0;322148.0;0.0
18388.0;26;1159.0;3289.0;1044.0;304497.0;0.0;28688.0;21864.0;333185.0;0.0
18419.0;26;1181.0;3336.0;1044.0;314744.0;0.0;28853.0;22253.0;343597.0;0.0
18449.0;26;1197.0;3367.0;1044.0;324153.0;0.0;28988.0;22992.0;353141.0;0.0
18480.0;26;1208.0;3401.0;1052.0;331476.0;0.0;29436.0;23657.0;360912.0;0.0
18511.0;26;1228.0;3441.0;1068.0;339927.0;0.0;29866.0;24221.0;369793.0;0.0
18541.0;26;1267.0;3482.0;1083.0;351634.0;0.0;30199.0;24675.0;381833.0;0.0
18572.0;26;1280.0;3522.0;1091.0;364816.0;0.0;30418.0;24870.0;395234.0;0.0
18602.0;26;1305.0;3557.0;1093.0;377589.0;0.0;30463.0;25028.0;408052.0;0.0
18426.0;26;1314.0;3581.0;1104.0;387245.0;0.0;30465.0;25620.0;417710.0;0.0
18427.0;26;1329.0;3610.0;1110.0;387239.0;0.0;30471.0;26090.0;417710.0;0.0
18428.0;26;1335.0;3630.0;1121.0;392229.0;0.0;30693.0;26609.0;422922.0;0.0
18429.0;26;1344.0;3658.0;1128.0;398263.0;0.0;30882.0;27006.0;429145.0;0.0
18430.0;26;1357.0;3689.0;1136.0;417291.0;0.0;31296.0;27404.0;448587.0;0.0
18431.0;26;1376.0;3718.0;1144.0;429204.0;0.0;31675.0;27566.0;460879.0;0.0
18432.0;26;1393.0;3748.0;1150.0;443121.0;0.0;32031.0;27709.0;475152.0;0.0
18433.0;26;1404.0;3767.0;1155.0;459576.0;0.0;32467.0;28205.0;492043.0;0.0
18434.0;26;1412.0;3797.0;1163.0;471443.0;0.0;32920.0;28663.0;504363.0;0.0
18435.0;26;1416.0;3830.0;1180.0;479910.0;0.0;33227.0;29065.0;513137.0;0.0
18436.0;26;1425.0;3860.0;1191.0;486576.0;0.0;33469.0;29399.0;520045.0;0.0
18437.0;26;1432.0;3897.0;1203.0;495880.0;0.0;33763.0;29707.0;529643.0;0.0
18438.0;26;1441.0;3943.0;1218.0;508573.0;0.0;34123.0;29854.0;542696.0;0.0
18439.0;26;1446.0;3966.0;1221.0;522662.0;0.0;34616.0;30008.0;557278.0;0.0
18440.0;26;1452.0;3986.0;1233.0;533874.0;0.0;35033.0;30401.0;568907.0;0.0
18441.0;26;1460.0;4010.0;1241.0;549868.0;0.0;35549.0;30809.0;585417.0;0.0
18442.0;26;1470.0;4031.0;1249.0;557094.0;0.0;35861.0;31225.0;592955.0;0.0
18443.0;26;1476.0;4054.0;1258.0;569013.0;0.0;36303.0;31601.0;605316.0;0.0
18268.0;26;1482.0;4081.0;1258.0;580391.0;0.0;36716.0;31947.0;617107.0;0.0
18299.0;26;1495.0;4112.0;1266.0;593217.0;0.0;37210.0;32163.0;630427.0;0.0
18328.0;26;1503.0;4139.0;1277.0;607548.0;0.0;37624.0;32347.0;645172.0;0.0
18359.0;26;1503.0;4139.0;1277.0;607548.0;0.0;37624.0;32347.0;645172.0;0.0
18389.0;26;1508.0;4170.0;1287.0;635879.0;0.0;38136.0;33408.0;674015.0;0.0
18420.0;26;1511.0;4219.0;1290.0;641124.0;0.0;38569.0;33907.0;679693.0;0.0
18450.0;26;1514.0;4252.0;1295.0;646114.0;0.0;39133.0;34377.0;685247.0;0.0
18481.0;26;1523.0;4272.0;1302.0;653381.0;0.0;39589.0;34902.0;692970.0;0.0
18512.0;26;1528.0;4305.0;1312.0;665277.0;0.0;40163.0;35193.0;705440.0;0.0
18542.0;26;1533.0;4329.0;1320.0;685058.0;0.0;40767.0;35442.0;725825.0;0.0
18573.0;26;1537.0;4366.0;1325.0;700524.0;0.0;41571.0;36012.0;742095.0;0.0
18603.0;26;1540.0;4399.0;1335.0;712771.0;0.0;42281.0;36582.0;755052.0;0.0
18456.0;26;1542.0;4424.0;1338.0;726217.0;0.0;42772.0;37199.0;768989.0;0.0
18457.0;26;1548.0;4452.0;1348.0;734444.0;0.0;43170.0;37749.0;777614.0;0.0
18458.0;26;1558.0;4495.0;1353.0;746755.0;0.0;43742.0;38179.0;790497.0;0.0
