date;state;death;hospitalized;inIcuCumulative;negative;onVentilatorCumulative;positive;recovered;totalTestResults;totalTestsViral
18341.0;2;0.0;0.0;0.0;28.0;0.0;81.0;0.0;109.0;109.0
18342.0;2;0.0;0.0;0.0;28.0;0.0;124.0;0.0;152.0;152.0
18343.0;2;0.0;0.0;0.0;1464.0;0.0;138.0;0.0;1602.0;1602.0
18344.0;2;0.0;0.0;0.0;1665.0;0.0;167.0;0.0;1832.0;1832.0
18345.0;2;0.0;0.0;0.0;2106.0;0.0;215.0;0.0;2321.0;2321.0
18346.0;2;0.0;0.0;0.0;2529.0;0.0;283.0;0.0;2812.0;2812.0
18347.0;2;1.0;0.0;0.0;3593.0;0.0;506.0;0.0;4099.0;4099.0
18348.0;2;3.0;0.0;0.0;4184.0;0.0;587.0;0.0;4771.0;4771.0
18349.0;2;3.0;0.0;0.0;4184.0;0.0;696.0;0.0;4880.0;4880.0
18350.0;2;4.0;0.0;0.0;4184.0;0.0;806.0;0.0;4990.0;4990.0
18351.0;2;6.0;0.0;0.0;5694.0;0.0;859.0;0.0;6553.0;6553.0
18352.0;2;13.0;0.0;0.0;6298.0;0.0;981.0;0.0;7279.0;7279.0
18265.0;2;26.0;0.0;0.0;6697.0;0.0;1077.0;0.0;7774.0;7774.0
18296.0;2;32.0;0.0;0.0;7503.0;0.0;1233.0;0.0;8736.0;8736.0
18325.0;2;35.0;0.0;0.0;8187.0;0.0;1432.0;0.0;9619.0;9619.0
18356.0;2;43.0;212.0;0.0;9273.0;0.0;1580.0;0.0;10853.0;10853.0
18386.0;2;45.0;231.0;0.0;11282.0;0.0;1796.0;0.0;13078.0;13078.0
18417.0;2;50.0;240.0;0.0;12797.0;0.0;1968.0;0.0;14765.0;14765.0
18447.0;2;56.0;271.0;0.0;12797.0;0.0;2119.0;0.0;14916.0;14916.0
18478.0;2;66.0;314.0;0.0;16753.0;0.0;2369.0;0.0;19122.0;19122.0
18509.0;2;74.0;333.0;0.0;18058.0;0.0;2769.0;0.0;20827.0;20827.0
18539.0;2;80.0;368.0;0.0;18058.0;0.0;2968.0;0.0;21026.0;21026.0
18570.0;2;91.0;402.0;177.0;18058.0;113.0;3191.0;0.0;21249.0;21249.0
18600.0;2;93.0;437.0;189.0;18058.0;119.0;3525.0;0.0;21583.0;21583.0
18365.0;2;99.0;457.0;189.0;25448.0;119.0;3734.0;0.0;29182.0;29182.0
18366.0;2;110.0;493.0;210.0;29241.0;132.0;3876.0;0.0;33117.0;33117.0
18367.0;2;121.0;525.0;219.0;29964.0;134.0;4113.0;0.0;34077.0;34077.0
18368.0;2;133.0;553.0;227.0;32046.0;137.0;4345.0;0.0;36391.0;36391.0
18369.0;2;144.0;594.0;247.0;33318.0;148.0;4530.0;0.0;37848.0;37848.0
18370.0;2;146.0;620.0;247.0;37883.0;148.0;4655.0;0.0;42538.0;42538.0
18371.0;2;154.0;641.0;260.0;40875.0;157.0;4837.0;0.0;45712.0;45712.0
18372.0;2;167.0;641.0;260.0;40875.0;157.0;5025.0;0.0;45900.0;45900.0
18373.0;2;177.0;699.0;260.0;43295.0;157.0;5231.0;0.0;48526.0;48526.0
18374.0;2;194.0;730.0;288.0;43295.0;170.0;5465.0;0.0;48760.0;48760.0
18375.0;2;197.0;768.0;288.0;46863.0;170.0;5778.0;0.0;52641.0;52641.0
18376.0;2;197.0;768.0;288.0;46863.0;170.0;5832.0;0.0;52695.0;52695.0
18377.0;2;212.0;839.0;288.0;65207.0;170.0;6137.0;0.0;71344.0;71344.0
18378.0;2;216.0;845.0;288.0;67281.0;170.0;6270.0;0.0;73551.0;73551.0
18379.0;2;222.0;872.0;335.0;67498.0;195.0;6499.0;0.0;73997.0;73997.0
18380.0;2;242.0;911.0;335.0;69140.0;195.0;6687.0;0.0;75827.0;75827.0
18381.0;2;245.0;945.0;335.0;73607.0;195.0;6842.0;0.0;80449.0;80449.0
18382.0;2;269.0;978.0;335.0;80177.0;195.0;7019.0;0.0;87196.0;87196.0
18266.0;2;279.0;1008.0;335.0;84775.0;195.0;7158.0;0.0;91933.0;91933.0
18297.0;2;288.0;1023.0;335.0;84775.0;195.0;7434.0;0.0;92209.0;92209.0
18326.0;2;290.0;1035.0;403.0;84775.0;242.0;7725.0;0.0;92500.0;92500.0
18357.0;2;296.0;1064.0;411.0;95092.0;247.0;8025.0;0.0;103117.0;103117.0
18387.0;2;313.0;1107.0;428.0;98481.0;255.0;8285.0;0.0;106766.0;106766.0
18418.0;2;340.0;1158.0;442.0;100935.0;264.0;8581.0;0.0;109516.0;109516.0
18448.0;2;349.0;1178.0;448.0;106275.0;266.0;8898.0;0.0;115173.0;115173.0
18479.0;2;375.0;1207.0;454.0;110893.0;266.0;9221.0;0.0;120114.0;120114.0
18510.0;2;388.0;1228.0;459.0;115927.0;272.0;9567.0;0.0;125494.0;125494.0
